gridSize.x,gridSize.y,numberOfEndCondition,numberOfRounds,inicialNumberOfGimbaza,inicialNumberOfLicbaza,inicialNumberOfUczelnia,inicialNumberOfPiwo,inicialNumberOfEgzamin,inicialNumberOfPodbus,inicialNumberOfGimbus,inicialNumberOfPatus,inicialNumberOfLicbus,inicialNumberStudent,inicialNumberOfDebil,finNumberOfPodbus,finNumberOfGimbus,finNumberOfPatus,finNumberOfLicbus,finNumberStudent,finNumberOfDebil,finNumberOfPiwo,finNumberOfEgzamin
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,7,0,1,0,0,0,2
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,3,0,1,0,0,0,47
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,5,2,1,0,0,62,18
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,7,2,1,0,0,35,34
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,4,4,0,0,0,66,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,1,4,1,0,0,82,21
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,3,4,0,0,0,35,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,5,2,0,0,0,52,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,3,6,0,0,0,88,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,2,6,0,2,0,0,0,47
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,6,2,1,0,0,61,6
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,5,0,1,0,0,0,28
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,4,2,2,0,0,13,44
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,5,2,1,0,0,71,41
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,6,2,0,0,0,89,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,2,6,2,0,0,0,45,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,1,4,1,0,0,158,28
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,9,0,1,0,0,0,45
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,8,2,0,0,0,54,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,5,4,0,0,0,104,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,3,6,1,0,0,152,43
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,4,3,2,0,0,174,25
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,4,2,1,0,0,60,6
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,4,4,0,0,0,113,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,4,2,2,0,0,88,50
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,7,0,2,0,0,0,22
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,3,2,0,0,0,23,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,7,2,1,0,0,49,18
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,3,2,1,0,0,8,36
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,5,0,0,0,0,0,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,5,2,1,0,0,82,19
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,3,1,3,0,0,57,41
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,4,0,2,0,0,0,68
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,4,2,0,0,0,70,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,6,2,1,0,0,55,17
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,4,2,0,1,0,81,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,7,0,1,0,0,0,35
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,6,2,0,0,0,24,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,4,4,0,0,0,93,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,5,2,0,0,0,41,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,6,2,2,0,0,1,52
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,5,0,2,0,0,0,43
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,4,2,1,0,0,87,31
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,5,2,1,0,0,82,4
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,9,0,0,0,0,0,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,4,0,2,0,0,0,44
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,0,4,2,0,0,0,41,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,2,2,1,0,0,51,6
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,2,5,0,1,0,0,0,2
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,10,17,7,0,0,540,77
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,10,15,9,0,0,406,107
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,10,22,0,0,0,492,0
100,100,1,599,3,2,1,0, 0, 50,0,0,0,0,0,5,8,10,8,1,0,308,140
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,1,10,8,3,0,0,238,86
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,4,5,12,3,0,0,290,30
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,1,11,8,13,0,0,208,257
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,1,5,12,12,0,0,341,221
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,0,14,11,5,0,0,206,86
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,13,10,7,0,0,188,125
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,5,9,14,4,0,0,308,70
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,1,10,12,9,0,0,232,163
100,100,1,413,3,2,1,0, 0, 50,0,0,0,0,0,4,11,8,2,1,0,153,36
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,10,15,3,0,0,331,25
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,3,8,13,8,0,0,219,107
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,9,12,5,0,0,291,125
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,4,8,18,0,0,0,417,0
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,5,8,28,3,0,0,581,48
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,16,14,4,0,0,344,64
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,13,6,3,0,0,142,79
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,4,12,9,3,0,0,240,60
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,6,10,8,8,0,0,230,145
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,4,7,15,12,0,0,346,205
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,4,9,15,2,0,0,387,43
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,8,20,6,0,0,383,103
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,3,9,16,3,0,0,348,37
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,12,12,6,0,0,416,72
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,13,14,3,0,0,380,62
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,3,9,13,7,0,0,323,162
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,1,8,18,1,0,0,330,22
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,1,12,19,4,0,0,396,54
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,6,4,17,5,0,0,424,61
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,1,5,22,0,0,0,522,0
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,5,13,16,0,0,0,308,0
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,3,8,17,11,0,0,371,160
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,7,11,2,0,0,207,21
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,8,10,4,0,0,296,79
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,1,7,14,6,0,0,290,74
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,8,16,0,0,0,319,0
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,3,9,16,6,0,0,354,108
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,3,9,16,4,0,0,382,74
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,3,9,9,5,0,0,297,83
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,11,16,1,0,0,360,2
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,4,7,15,9,0,0,325,174
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,4,9,11,4,0,0,259,93
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,5,12,1,0,0,259,15
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,2,15,11,10,0,0,243,178
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,3,7,15,3,0,0,406,52
100,100,1,247,3,2,1,0, 0, 50,0,0,0,0,0,10,18,10,1,1,0,92,17
100,100,5,600,3,2,1,0, 0, 50,0,0,0,0,0,4,11,9,4,0,0,172,71
100,100,1,293,3,2,1,0, 0, 100,0,0,0,0,0,24,12,33,8,1,0,324,48
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,3,14,26,25,0,0,567,290
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,7,18,32,1,0,0,654,7
100,100,1,597,3,2,1,0, 0, 100,0,0,0,0,0,4,14,36,25,1,0,606,328
100,100,1,400,3,2,1,0, 0, 100,0,0,0,0,0,14,17,35,9,1,0,529,76
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,3,12,34,17,0,0,644,207
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,6,11,25,20,0,0,451,242
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,5,13,26,8,0,0,527,102
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,3,14,24,5,0,0,384,29
100,100,1,555,3,2,1,0, 0, 100,0,0,0,0,0,4,12,20,15,1,0,462,155
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,4,8,34,14,0,0,488,191
100,100,1,454,3,2,1,0, 0, 100,0,0,0,0,0,10,15,25,5,1,0,415,66
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,5,15,27,14,0,0,499,199
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,3,14,36,11,0,0,713,108
100,100,1,466,3,2,1,0, 0, 100,0,0,0,0,0,9,12,23,5,1,0,415,58
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,6,7,55,2,0,0,920,24
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,8,23,36,7,0,0,606,83
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,2,17,26,19,0,0,505,237
100,100,1,548,3,2,1,0, 0, 100,0,0,0,0,0,2,15,31,16,3,2,608,130
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,5,11,42,10,0,0,789,92
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,3,14,42,1,0,0,742,9
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,5,15,40,0,0,0,691,0
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,7,13,13,23,0,0,358,358
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,2,17,30,17,0,0,626,166
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,2,11,37,6,0,0,691,65
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,2,13,32,11,0,0,697,126
100,100,1,577,3,2,1,0, 0, 100,0,0,0,0,0,3,8,27,15,1,0,652,183
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,5,16,31,6,0,0,587,79
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,9,6,41,14,0,0,732,193
100,100,1,488,3,2,1,0, 0, 100,0,0,0,0,0,8,14,33,7,1,1,538,73
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,7,14,21,4,0,0,423,48
100,100,1,545,3,2,1,0, 0, 100,0,0,0,0,0,8,11,28,10,1,0,537,168
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,6,13,26,15,0,0,573,173
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,5,12,21,17,0,0,579,198
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,4,8,39,9,0,0,759,92
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,4,9,20,29,0,0,456,308
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,7,11,26,22,0,0,581,245
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,6,12,34,12,0,0,640,142
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,4,10,28,13,0,0,633,167
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,6,15,32,14,0,0,658,116
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,4,14,27,33,0,0,533,309
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,2,13,29,19,0,0,618,158
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,7,9,15,21,0,0,467,256
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,1,11,46,4,0,0,957,53
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,10,15,30,7,0,0,554,62
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,5,7,31,21,0,0,615,271
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,7,12,36,5,0,0,613,58
100,100,1,416,3,2,1,0, 0, 100,0,0,0,0,0,14,19,23,17,1,0,371,166
100,100,5,600,3,2,1,0, 0, 100,0,0,0,0,0,8,10,19,21,0,0,517,306
100,100,1,577,3,2,1,0, 0, 100,0,0,0,0,0,1,17,30,18,1,0,614,177
100,100,1,280,3,2,1,0, 0, 200,0,0,0,0,0,46,23,53,8,2,0,480,64
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,10,14,51,19,0,0,793,233
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,11,14,38,51,0,0,709,463
100,100,1,393,3,2,1,0, 0, 200,0,0,0,0,0,30,22,53,19,1,0,557,125
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,10,20,32,50,0,0,596,360
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,9,13,55,38,1,0,750,282
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,11,15,72,31,0,0,996,214
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,9,15,45,56,0,0,776,426
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,15,16,16,60,0,0,390,478
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,13,14,77,14,0,0,971,117
100,100,1,509,3,2,1,0, 0, 200,0,0,0,0,0,23,21,47,30,1,0,631,254
100,100,1,459,3,2,1,0, 0, 200,0,0,0,0,0,17,13,55,17,1,0,683,135
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,9,16,32,66,0,0,515,622
100,100,1,384,3,2,1,0, 0, 200,0,0,0,0,0,21,22,58,18,1,0,669,114
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,14,13,58,34,0,0,836,233
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,7,17,53,49,0,0,795,431
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,10,12,34,67,0,0,518,630
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,9,13,34,68,0,0,642,502
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,5,13,55,29,0,0,795,232
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,10,14,50,32,0,0,782,238
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,8,13,50,45,0,0,765,383
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,10,17,33,66,0,0,549,528
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,7,16,25,52,0,0,559,478
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,16,13,55,40,0,0,733,325
100,100,1,271,3,2,1,0, 0, 200,0,0,0,0,0,54,27,53,4,2,0,383,28
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,9,15,52,30,0,0,899,211
100,100,1,159,3,2,1,0, 0, 200,0,0,0,0,0,88,24,50,1,1,0,245,4
100,100,1,589,3,2,1,0, 0, 200,0,0,0,0,0,10,22,26,65,2,0,529,524
100,100,1,476,3,2,1,0, 0, 200,0,0,0,0,0,18,16,44,39,1,0,656,228
100,100,1,361,3,2,1,0, 0, 200,0,0,0,0,0,37,20,49,28,1,0,485,150
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,7,16,79,19,0,0,1001,172
100,100,1,360,3,2,1,0, 0, 200,0,0,0,0,0,42,25,46,24,1,0,479,187
100,100,1,124,3,2,1,0, 0, 200,0,0,0,0,0,117,22,25,7,1,0,128,32
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,6,12,62,28,0,0,849,271
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,11,22,68,25,0,0,916,278
100,100,1,321,3,2,1,0, 0, 200,0,0,0,0,0,45,15,53,14,1,0,518,70
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,14,19,42,60,0,0,671,477
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,13,11,25,72,0,0,480,675
100,100,1,548,3,2,1,0, 0, 200,0,0,0,0,0,7,12,56,36,1,0,847,259
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,13,10,67,22,0,0,911,151
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,8,14,43,51,0,0,731,449
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,8,15,38,31,0,0,768,250
100,100,1,543,3,2,1,0, 0, 200,0,0,0,0,0,12,15,38,44,1,0,642,339
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,10,19,59,25,0,0,774,224
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,13,16,100,1,0,0,1135,7
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,10,18,82,6,0,0,1054,65
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,7,12,64,23,0,0,990,155
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,11,14,84,7,0,0,1059,57
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,13,10,92,11,0,0,960,74
100,100,5,600,3,2,1,0, 0, 200,0,0,0,0,0,6,12,67,5,0,0,887,62
100,100,1,274,3,2,1,0, 0, 300,0,0,0,0,0,87,22,74,36,1,0,492,149
100,100,5,600,3,2,1,0, 0, 300,0,0,0,0,0,19,11,95,13,0,0,1014,107
100,100,5,600,3,2,1,0, 0, 300,0,0,0,0,0,18,15,82,48,0,0,928,301
100,100,5,600,3,2,1,0, 0, 300,0,0,0,0,0,16,27,61,81,0,0,754,467
100,100,1,401,3,2,1,0, 0, 300,0,0,0,0,0,45,23,67,62,1,0,607,269
100,100,5,600,3,2,1,0, 0, 300,0,0,0,0,0,20,19,32,104,0,0,461,735
100,100,5,600,3,2,1,0, 0, 300,0,0,0,0,0,17,17,52,73,0,0,661,469
100,100,1,412,3,2,1,0, 0, 300,0,0,0,0,0,42,25,77,35,1,0,700,203
100,100,1,599,3,2,1,0, 0, 300,0,0,0,0,0,21,14,61,78,1,0,647,548
100,100,1,359,3,2,1,0, 0, 300,0,0,0,0,0,57,20,89,19,1,0,776,60
100,100,1,399,3,2,1,0, 0, 300,0,0,0,0,0,53,16,106,18,1,0,879,110
100,100,1,265,3,2,1,0, 0, 300,0,0,0,0,0,85,38,103,5,1,0,537,23
100,100,1,293,3,2,1,0, 0, 300,0,0,0,0,0,82,27,79,17,1,0,604,70
100,100,1,343,3,2,1,0, 0, 300,0,0,0,0,0,66,28,71,48,1,0,544,237
100,100,5,600,3,2,1,0, 0, 300,0,0,0,0,0,13,18,48,95,2,0,575,674
100,100,5,600,3,2,1,0, 0, 300,0,0,0,0,0,15,18,37,86,0,0,516,591
100,100,5,600,3,2,1,0, 0, 300,0,0,0,0,0,22,16,77,62,0,0,712,421
100,100,1,378,3,2,1,0, 0, 300,0,0,0,0,0,51,22,98,34,1,0,782,199
100,100,1,430,3,2,1,0, 0, 300,0,0,0,0,0,42,20,85,32,1,0,697,155
100,100,1,551,3,2,1,0, 0, 300,0,0,0,0,0,33,16,33,101,1,0,410,669
100,100,5,600,3,2,1,0, 0, 300,0,0,0,0,0,22,15,73,54,0,0,806,370
100,100,1,334,3,2,1,0, 0, 300,0,0,0,0,0,63,22,86,7,1,1,647,45
100,100,5,600,3,2,1,0, 0, 300,0,0,0,0,0,13,16,58,82,0,0,611,575
100,100,1,462,3,2,1,0, 0, 300,0,0,0,0,0,36,19,52,81,1,0,669,441
100,100,1,469,3,2,1,0, 0, 300,0,0,0,0,0,42,17,72,56,1,0,645,351
100,100,5,600,3,2,1,0, 0, 300,0,0,0,0,0,18,14,46,77,0,0,643,507
100,100,1,179,3,2,1,0, 0, 300,0,0,0,0,0,146,22,66,1,1,0,352,2
100,100,1,474,3,2,1,0, 0, 300,0,0,0,0,0,31,15,45,51,1,0,604,342
100,100,1,470,3,2,1,0, 0, 300,0,0,0,0,0,24,23,77,52,1,0,836,247
100,100,5,600,3,2,1,0, 0, 300,0,0,0,0,0,11,15,146,0,0,0,1344,0
